Action,satisfaction,importance,opportunity
Actor0_Action2,-2.6008252658067583,4.222222222222221,4.222222222222221
Actor0_Action1,-6.47004039365056,6.888888888888889,6.888888888888889
Actor0_Action5,-1.7868078694884026,2.4444444444444446,2.4444444444444446
Actor0_Action3,-0.7742019735341188,2.6666666666666665,2.6666666666666665
Actor0_Action4,1.2345547679212885,2.6666666666666665,2.6666666666666665
Actor4_Action4,-1.3598302052402964,1.3333333333333335,1.3333333333333335
Actor4_Action1,10.0,0.0,10.0
Actor4_Action3,-2.2009279914119837,0.8888888888888888,0.8888888888888888
Actor4_Action5,2.1015152538587003,2.6666666666666665,2.6666666666666665
Actor4_Action2,-6.972124679969236,0.22222222222222232,0.22222222222222232
Actor3_Action5,-3.2844065416676784,3.3333333333333335,3.3333333333333335
Actor3_Action2,-5.182714929320195,4.0,4.0
Actor3_Action1,-10.0,7.555555555555555,7.555555555555555
Actor3_Action3,-2.6391878244075677,4.888888888888889,4.888888888888889
Actor3_Action4,-6.380328571532402,4.666666666666666,4.666666666666666
Actor1_Action2,3.831280234667908,7.555555555555555,7.555555555555555
Actor1_Action3,7.662078215233159,7.111111111111111,7.662078215233159
Actor1_Action1,-2.0572973603437887,10.0,10.0
Actor1_Action5,8.481734536042872,4.666666666666666,8.481734536042872
Actor1_Action4,2.789008313082295,6.444444444444445,6.444444444444445
Actor1_Action6,2.1688772097892794,0.8888888888888888,2.1688772097892794
