ㄹ,0
0,불안함이라는 감정을 다룬 ' 데일카네기의 자기관리론' 이라는 책을 읽고 깨달았던 저의 느낀점을 이야기 해드리고싶네요.불안이라는 감정은 과거의 나의 잘못된 행동에 대한  후회로 인해  생기는 감정이라고 생각해요.우리는 과거를 바꿀 수 없고 미래를 알 수는 없지만 오늘이라는 시간은 늘 주어져요.인생은 불공평하면서도 한편으로는  참 공평해요. 누구에게나 '시간'은 주어지잖아요. 시작점이 다를 수는 있겠지만 그 시간을 어떻게 활용하느냐는 늘 본인의 몫이고 동물과는 다르게 사고를 할 수 있는 인간이기에 인생은 언제든지 바꿀 수 있다생각해요.뻔한 말이라서 귀에 담기지는 않지만 그런 말일 수록 진리라고 생각해요.오늘을 최선을 다해 기쁘게 살아라. 라고 말씀드리고 싶어요. 과거는 신경쓰지않고 미래를 바꿀 수 있으니까요.본인의 삶에 큰 목표를 설정하고 그걸 이루기위한 작고 작은 계획부터 세워보시며 오늘 하루를 알차게 사시는걸 추천드려요. 목표가 있는 삶은 언제나 재미있고 행복해요.행복하세요.지식인 정신건강의학과 대한민국 1위 답변불안장애가 있는 것인데 이것으로 인해서 생활에 지장이 많이 생긴다면 병원을 방문 할 수도 있는데 그 전에 우선 자신의 자존감 높이기 훈련 하면서 마음을 강하게 하는 그러한 연습 소심함을 없애기 등등을 하면 엄청난 변화가 생김을 최고 전문가로서 답변함!
1," 저도 옛날에 왕따 당한적이 있어서..근데요 님! 저는 활발한 성격도 좋지만 살짝 내향적이고 뭔가 비밀스러운 친구도좋아합니다~그리고 님에게 별명을 불러주는것은 관심이 있다는 거에요.진짜 싫어 하는 친구에겐 별명따윈 부르지 않습니다...님에게 별명 불러주면 살짝 맞춰가며 같이 돌아 보세요 ㅎㅎ 1. 우울한 기분 떨쳐내는법절때~~~! 우울한 노래 들으시면 안돼요..괜히 슬퍼진답니다. 약간 신나는 노래 들으시고요내가 감사한 이유를 좀 찾아보세요.또 큰소리로 소리쳐 보시고, 억지로라도 웃어보세요! 2. 짜증날때 이겨내는법 (해소법)저도 짜증날땐 이겨내기 힘들죠..하지만 자신의 마음은 다스릴수 있는법!!짜증이 날때 잠깐 숨을들어마시기를 3번정도 반복하시고왜 짜증이 났는지 생각해보세요. 그리고 잠깐 눈 감으시고 생각하는 것도 좋습니다 3. 얘들이 시비걸때 신경안쓰는법저도 옛날에 얘들이 시비걸면 절 싫어하는 줄 알았어요..하지만 이것또한 당신을 향한 관심입니다!!그냥 별명정도 부르는 거라면 살짝 기분 맞춰가며 놀아보세요~하지만! 정도가 심하다 하면..째려보세요.. 내가 너가 나에게 이렇게 하는 거 정말 싫다! 라는 눈빛으로요! 답변이 도움 되길 바랍니다. 진짜 제 경험으로만 적었어요^^"
2,"자기보다 예쁘고 잘난 사람을 보면서 자신과 비교하지 마세요그런 사람을 보게 되더라도 질문자님도 그 사람 못지 않게 빛난 다고 생각하시고요지금 당장 자존감이 어떤 원인 때문에 낮다 하더라도 나중에는 높아질 수도 있구요저도 예전에 그런 고민 있었는데 이 노래 듣고 굉장히 치유가 됬어요러브홀릭스 - butterfly (영화 국가대표 1에 나온 노래입니다 )꼭 들어보시길 바라구요힘들때는 먹고 싶은 거 왕창 먹는 것도 좋아용저의 경우에는 스트레스는 운동으로 풀기, 따뜻한 물 혹은 차 마시기, 배를 온찜질해서 따뜻하게 하기, 잠자기 이렇게 있네요"
3,"일단 수습을 해야죠혼자다 못하니 무기력해진거같은데하나씩차근차근해결하세요일단은, 상황을 다 수습하시기 바랍니다한꺼번에 다 할려고 하지 마십시오다 시간이 들어가서 차근차근 되어야합니다한번에 되는거 없습니다차근차근 침착하게 하십시오!"
4,"실컷 자고 일어나기, 내가 한 요리 맛있게 먹기, 달달한 음식 먹기, 좋아하는 사람들 만나기 등등명상을 해보세요그리고 적당한 운동을 하면서스트레스도 없애주면 좋아요가장 중요한건절대로 술을 마시지 않아야 합니다.우울감의 원인을 계속 찾아내서방안에서 혼자서 큰소리로 화를 내거나 하는것도 좋아요항상 긍정적으로 생각하고 의도적으로 즐겁다. 행복하다. 내 이웃하는  모든것에 감사하고 고맙습니다. 이렇게 끊임없이 말과 행동하며 기도하둣이 웃으며 노력하시기 바랍니다. 그러면 우울하다는 생각조차 없어질 것입니다. 이상은 제의견입니다. 참고하시기 바랍니다. 항상 건강하고 행복이 가득하길 기원합니다."
5,"전 중학생입니다.지난겨울부터 불안장애가 생겼는데 정말 많이 힘들었습니다.저같은 경우에는 정신과에 간것이 확실히 도움이 됐습니다.정신과에 가기힘드시다면 학교에 있는 위클래스나 청소년상담1388같은곳에서 상담은 받으시면 도움이 될겁니다.저도 몇달전만 해도 굉장히 힘들었습니다만,이런 도움을 받아 많이 나아졌습니다.질문자님께서도 정신과에 가시거나 상담같은걸 받으시면 많이 나아지실 겁니다.주변인에게 말하기 힘드시다면 이렇게 인터넷에서 털어놓으시는 것도 좋습니다.어떻게든 힘들다는 것을 표출하고 도움을 받으세요.이겨낼수 있으실겁니다."
6,"에고, 번아웃도 오고 애인이랑 관계도 틀어지고 해서 매일 밤을 울면서 지내셨군요. 다행히도 일도 잘 풀리고 애인과도 잘 되어가는 기미가 보인다고 하니 좋은 일이네요. 그런데 여전히 지금도 답답한 가슴이고 신체적으로 우울한 느낌이 드셔서 걱정이 되시나 봅니다. 우선 우울감과 우울증은 완전히 달라요. 우울감은 일시적이고, 어떤 특정한 사건들로 인해서 드는 감정입니다. 자세한 내용은 이 링크된 글을 참조해 보세요. https://wellbeingways.org/우울감-우울증/그러니 우선은 조금 지켜보시면 좋을 것 같아요. 다만 번아웃이 있다고 하셔서 어쩌면 신체적으로 지쳐 있어서 계속해서 그런 감정이 남아 있는 것 같아 보입니다. 그런데 우울감이 2주 정도가 지나도 여전히 있다면, 그 때는 꼭 정신과 전문의를 만나셔 상담을 받아 보세요. 위에 드린 링크를 따라가시면, 우울증 증상 및 자가진단, 우울감 해소법 등이 나와 있어요. 아무튼 잘 회복이 되시길! "
7,"저는 스트레스 해소법으로 우울감, 불안감 해소에 좋은 다양한 성분들을 꾸준히 섭취하고 있는데요. 이게 생각보다 효과도 좋고 스트레스 해소법으로 괜찮더라구요. 질문자님처럼 활동적이신 방법을 선호하지 않는 분들에게는 더 좋을 것 같은데요. 세로토닌 농도를 높여주어 불안감과 우울상태를 개선해 주는 세인트존스워트, 항우울 작용과 신경 안정 작용을 하는 홍경천, 숙면에 도움을 주는 발레리안 성분 등이 함유되어 있는 닥터코코로 한번 꾸준히 챙겨 보세요^^로아스트라로아스트라 공식몰. 닥터코코로, 조인트루, 히로오사, 아카치나 등 건강기능식품bit.ly"
8,"ㅠㅠ잠은 잘 주무실까요?저는 힘들거나 피곤할 때 무기력해지더라구요우울하실 때는 억지로 이겨내려고 하지 마시고 가끔은 여유롭게 보내는 것도 좋을 것 같아요!스트레스도 받으시고 공부 하시는데 속도 안좋으시고 많이 힘드실 것 같아요ㅜㅜ취미 생활 같은것 있으시면 주말에 취미 생활을 즐기시거나 친구들이랑 놀러 나가셔도 좋고취미 생활이 없으시면 새로 만들어 자신만의 소소한 행복을 찾으시면 일상에 활력을 찾으실 수 있고 삶에 흥미도 생기실 것 같아요!스트레스 없이 행복 가득한 하루 되시길 바랄게요:)에고 많이 지쳐 있는 것 같아요. 그런데 너무 처음부터 우울증이라는 생각은 하지 마시고, 먼저는 스트레스를 해소하는 것부터 해야 해요. 우울감은 어느 정도 시간이 지나면 나이지니까요. 하루 이틀정도라도 쉼을 가지시고, 맛있는 것도 먹고, 좋은 곳도 가보고 그렇게 해 보세요. https://m.blog.naver.com/welfare-nz/223481271587번아웃인가요?안녕하세요, 마음 지킴이 토닥토닥입니다. 우리가 살다 보면 인생에 한두 번쯤은 힘들고 지칠 때가 있습니...m.blog.naver.com그리고 우울감 해소법이 몇 가지 소개 되어 있는데 그런 것도 해 보면 좋을 듯 해요. https://wellbeingways.org/우울감-우울증/우울감은 우울증이 아닙니다 [우울감 해소법 8가지] » 웰빙 웨이즈우울감은 우울증이 아닙니다- 네이버 지식인에 정말로 많은 분들이 우울증을 호소하고 있습니다. “우울증 안거 같아요” “우울증에 피해의식이 심해요” “우울증 같은데 어떻게 하면 기분이 좋아질까요?” “제 남편이 우울증입니다. 조언부탁드립니다” 하는 고민들을 자주 말하십니다.wellbeingways.org반갑습니다. 아이디 비공개님서울시청소년상담복지센터 사이버상담원입니다. 최근 들어 부쩍 우울감도 많이 느껴지고, 학업능률도 잘 오르지 않으시나 봅니다.올려주신 글을 읽노라니, 비공개님의 두 어깨가 무겁게 쳐져 계신 듯 상상이 되어, 염려되는 마음도 들었지요. 비공개님,공부가 참 쉽지 않지요?특히 대한민국의 입시생에게는 가혹한 스트레스를 견뎌내야만하는 어려움이 있지요. 이럴 때 일수록, 비공개님의 미래의 꿈에 대해 생각을 해보시면 어떠실까 합니다.공부는 대학을 위한 것이 아니랍니다. 비공개님이 이루고 싶은 꿈은 무엇인가요?혹, 아직도 나의 미래가 불투명하시다면, 자신의 꿈을 찾아볼 수 있는 방법을 잠시 소개해드리겠습니다. 그 첫 번째 방법은 그 누가 시키지 않아도 가고 싶고 하고 싶은 것이 무엇인지 찾아보시는 거랍니다.두 번째로는 그걸 못하게 막거나, 나보다 그걸 잘하는 사람을 만나게 되면, 질투가 나는 일이 있으신지 찾아보세요.세 번째로는 학교의 위클래스에 가셔서 ‘진로 및 적성검사’를 받아보시기를 추천 드립니다.네 번째로는 닮고 싶은 위인이나 롤 모델을 찾아보시는 거랍니다. 일상에서의 공부로 인해 스트레스가 많을수록, 나무보다는 숲을 보는 지혜를 발휘해보시기를 바랍니다.혹은 좀 더 구체적인 문의사항이 있으시거나 고민을 나눠보고 싶으실 때는 언제든 전화 상담이나 채팅상담을 이용해보세요. 전화상담은 청소년전화 1388 ‣ 지역번호+1388채팅상담은 !지금 바로 실시간 채팅 상담이 필요하다면 카카오 톡 “마음 톡톡” 채널!https://pf.kakao.com/_fMuxgxj(친구 추가하시면 실시간 카카오 톡으로 상담을 받으실 수 있습니다.) 모쪼록 비공개님께 도움이 되셨기를 바랍니다.서울시청소년상담복지센터 사이버상담원 드림"
9,"에고, 인간관계 때문에 많이 스트레스 받고 계시군요… 저도 한 때 너무나 큰 스트레스를 받은 적이 있어요. 최근에 [신경끄기의 기술]이랴는 책을 읽었는데, 그 책에서 가장 마음에 들었던 것이 “애쓰지마”였습니다. 한 때는 힘든 인간과계를 어떻게든 잘 풀어보려고 했는데, 오히려 그럴수록 더 마음이 상하고 관계가 더 안 좋아지더라고요. 그러면서 깨달은 것이 그런 관계에 너무 나의 힘을 뺄 필요가 없다는 거예요. 나중에 그 책을 읽으면서 깨달았아요. 그런 것에 나의 에너지를 쓰기 보다는 (애쓰기 보다는) 정작 중요한 것에 나의 힘을 써야 한다는 것을… 그냥 편하게 내가 즐길 수 있는 것, 내가 행복한 것, 내가 함께하면 즐겁고 행복한 사람과 더 많이 시간ㅇ르 보내는 것이 더 중요하다는 사실을요.그냥 ‘애쓰지마세요’라고 말해 주고 싶네요. 그리고 더 이상 쓸 데 없는 관계로 스트레스 받지 않으셨으면 좋겠네요. 우울한 마음들은 어느 정도 휴식을 취하고 스트레스가 줄어들면 나아지실 거예요.https://wellbeingways.org/우울감-우울증/우울감은 우울증이 아닙니다 [우울감 해소법 8가지] » 웰빙 웨이즈우울감은 우울증이 아닙니다- 네이버 지식인에 정말로 많은 분들이 우울증을 호소하고 있습니다. “우울증 안거 같아요” “우울증에 피해의식이 심해요” “우울증 같은데 어떻게 하면 기분이 좋아질까요?” “제 남편이 우울증입니다. 조언부탁드립니다” 하는 고민들을 자주 말하십니다.wellbeingways.org 위에 링크된 글에는 우울감 해소법 8가지 방법이 소개되어 있는데, 한번 그런 방법을 시도해 보셔도 좋을 듯 해요. 정말로 마음이 잘 회복되시길 바랄께요. "
10,"에고, 자주 아무 이유없이 우는 것 때문에 많이 당황하시고, 힘드시겠어요. 이유를 모르고 자주 눈물이 나고 우신다고 하셨는데, 한번 천천히 생각해 보세요. 최근에 어떤 일들이 있었는지, 아니면 스트레스인지, 한달에 1-2회 정도 우신다고 했는데, 혹시나 스트레스나 어떤 감정들을 꾸욱꾸욱 누르다가 한번씩 터지는 것은 아닌지 모르겠네요. 제 아내 경우도 그런 적이 몇 번 있거든요.사느라 정신없이 살다보니 자기 감정을 제대로 살피지도 못하고 억누르고 있다가 한번씩 터지곤 했어요. 아니면 계절이나 날씨의 영향을 받는 것일 수도 있고… 한번 시간을 내어 천천히 살펴 보세요. 하지만, 우는 것이 꼭 나쁜 것은 아니에요. 그것은 인간의 기본 감정 중에 하나이니까요. 슬픔은 우리의 내면을 살펴보게 하는 중요한 감정이예요. 혹시 참고가 될까봐 글 하나 링크 보내드려요. https://wellbeingways.org/우울감-우울증/우울감은 우울증이 아닙니다 [우울감 해소법 8가지] » 웰빙 웨이즈우울감은 우울증이 아닙니다- 네이버 지식인에 정말로 많은 분들이 우울증을 호소하고 있습니다. “우울증 안거 같아요” “우울증에 피해의식이 심해요” “우울증 같은데 어떻게 하면 기분이 좋아질까요?” “제 남편이 우울증입니다. 조언부탁드립니다” 하는 고민들을 자주 말하십니다.wellbeingways.org그 외에도 우울감이나 우울증에 대해서 설명하는 글도 있으니 한번 둘러보시고요. 보시고, 혹시 단순한 우울감이 아니라 우울증 증상이 있다고 생각이 되시면, 꼭 심리 상담가나 정신과 전문의를 만나 상담을 받아 보세요. 그렇지 않으면, 우울감 해소법 8가지 중에 몇 가지를 해 보세요. 잘 회복이 되시길 바랍니다. "
11,"최근에 힘든 일이나 스트레스 받는 일이 있으셨나요? 계속 눈물이 나기 시작했던 기간이 얼마나 되었나요? 일상 생활에 지장을 줄 정도로 눈물이 나는 것 외에 다른 증상들이 있으신가요? 천천히 생각해 보세요. 그리고 심각하다 생각하시면 꼭 정신과 전문의를 만나 지료와 치료를 받으셔야 해요. 여기에서 어떤 상태인지를 확인 받으시면 안 되고요. ^^ 도움이 될 자료 2개를 링크 걸어두겠습니다. 자료는 말 그대로 참고 자료입니다. 이것을 토대로 내가 우울증인지, 조울증인지를 스스로 진단해서는 안 됩니다. 단순히 우울감이라 생각이 드시면, 한 2주 정도를 우울감 해소법 8가지 중에 하실 수 있는 것들을 해 보세요. 혹시라도 눈물이 나는 특별한 이유가 있는지도 생각해 보시고요. https://wellbeingways.org/우울감-우울증/우울감은 우울증이 아닙니다 [우울감 해소법 8가지] » 웰빙 웨이즈우울감은 우울증이 아닙니다- 네이버 지식인에 정말로 많은 분들이 우울증을 호소하고 있습니다. “우울증 안거 같아요” “우울증에 피해의식이 심해요” “우울증 같은데 어떻게 하면 기분이 좋아질까요?” “제 남편이 우울증입니다. 조언부탁드립니다” 하는 고민들을 자주 말하십니다.wellbeingways.orghttps://wellbeingways.org/우울증-종류/[우울증 2] 우울증에도 종류가 있는 것 아시나요? » 웰빙 웨이즈많은 분들이 '저 우울증이 아닌가요?' 하는 질문을 합니다. 자주 하는 말이 ""집중도 안되고 기억력도 안 좋아지고, 무언가 엄청 슬픈 일이 생긴 것도 아닌데 계속 눈물이 납니다"" ""하루하루가 무언가 외롭고 버거운 느낌이 듭니다"" ""삶이 재미가 없고 무기력해요""하는 증상들을 말하면서wellbeingways.org"
